Id,Names,Nationality/State,Position held,Occupation,Year born,Year deceased,Gender,Other memberships,URL References
215,"Lamb, John",New York,General,Military,1735,1800,M,Sons of Liberty,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54388.xml
219,"Jones, Joseph",Virginia,Delegate Continental Congress; State Representative,Attorney at Law; Politician; Justice,1727,1805,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54094.xml
220,"Sartine, Antoine Raymond Jean Gualbert Gabriel de",France,Minister of the Marine,Statesman; Military,1729,1801,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57770.xml
222,"Du Buysson des Aix, Charles-François, vicomte",France,Lieutenant Colonel,Military,1752,1786,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51547.xml
223,"Barbé-Marbois (Barbé de Marbois), François",France,Secretary to the legation; Consul,Politician; Diplomat,1745,1837,M,American Philosophical Society; American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48797.xml
224,"Nash, Abner",North Carolina,State President/Governor; State Representative; Delegate Continental Congress,Statesman; Politician,1740,1786,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=264725.xml
225,"Randolph, Edmund",Virginia,Delegate Continental Congress; State Attorney General; Aide-de-camp,Attorney at Law; Politician; Statesman; Military,1753,1813,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57188.xml
226,"DeWitt, Simeon",New York,Surveyor of the Army,Surveyor; Military,1756,1834,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51361.xml
228,"Destouches, Charles-René-Dominique Sochet",France,Admiral,Military,1727,1793,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51349.xml
230,"Harrison, Benjamin",Virginia,State President/Governor; State Representative; Delegate Continental Congress,Merchant; Planter; Politician; Statesman; Slaveholder,1726,1791,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53121.xml
231,"Schweighauser, Jean-Daniel",Geneva,Agent in France,Merchant; Agent,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=57821.xml
232,"Platt, Richard",New York,Aide-de-camp; Deputy adjutant general; Deputy quartermaster general,Military; Merchant,1754,1830,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56881.xml
234,"Trumbull, Jonathan Jr.",Connecticut,Comptroller United States treasury,Military; Secretary; Merchant; Farmer,1740,1809,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59150.xml
238,"Smith, James",New Jersey,,Physician,1738,1812,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58183.xml & https://www.founders.archives.gov/?q=James%20Smith%20Author%3A%22Smith%2C%20James%22&s=1111311111&r=3&sr= 
240,"Landais, Pierre",France,Agent in United States; Naval Captain,Agent; Military,1734,1820,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54397.xml
241,"Muhlenberg, Peter",Virginia,General,Clergy; Military,1746,1807,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56035.xml
242,"Walker, John",Virginia,Delegate Continental Congress; State Representative; Aide-de-camp,Politician; Military; Planter; Attorney at Law,1744,1809,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59499.xml
246,"Steuben, Friedrich Wilhelm Ludolf Gerhard Augustin, Baron [von]",Prussia,Inspector general; General,Military,1730,1794,M,American Philosophical Society; Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58504.xml
248,"Walker, Benjamin",New York,Aide-de-camp; Lieutenant Colonel,Military,1753,1818,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59491.xml
254,"Beaumarchais, Pierre Augustin Caron de",France,Agent in France,Playwright; Agent,1732,1799,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=242447.xml
255,Committee for Foreign Affairs,United States,,,,,O,,
256,Board of Trade,United States,,,,,O,,
257,Board of War,United States,,,,,O,,
260,Continental Congress,United States,,,,,O,,
261,President of Congress,United States,,,,,O,,
262,Massachusetts Council,Massachusetts,,,,,O,,
263,Massachusetts General Court,United States,,,,,O,,
264,"Willink, Wilhem & Jan",Dutch Republic,,,,,O,,
266,Virginia Delegates,Virginia,,,,,O,,
267,La Lande & Fynje,Dutch Republic,,,,,O,,
268,"Staphorst, Nicolaas & Jacob van",Dutch Republic,,,,,O,,
269,Committee of Secret Correspondence,United States,,,,,O,,
271,"Amiel, Peter",Massachusetts,Naval Captain,Military,1749,1791,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48461.xml https://www.myheritage.nl/names/peter_amiel 
272,"Antill, Edward",New Jersey,Lieutenant Colonel,Military,1742,1789,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48526.xml
273,"Arendt, Henry Leonard Philip",Prussia,Colonel,Military,,,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48547.xml
274,"Austin, Jonathan Loring",Massachusetts,,Merchant; Secretary; Agent,1748,1826,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48646.xml
275,"Banister, John",Virginia,Delegate Continental Congress,Politician; Lawyer; Military,1734,1788,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=239913.xml
276,"Barclay, Thomas",Pennsylvania,Consul in France; State Representative,Diplomat; Merchant,1728,1793,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48818.xml
277,"Barry, John",Pennsylvania,Naval Captain,Military,1745,1803,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=48878.xml
